Date,NTU.THN.TOTAL_SULFUR
22/05/2019,0.00
23/05/2019,0.00
24/05/2019,0.00
25/05/2019,0.00
26/05/2019,0.00
27/05/2019,0.00
28/05/2019,0.00
29/05/2019,0.00
30/05/2019,0.00
31/05/2019,0.00
01/06/2019,0.00
02/06/2019,0.00
03/06/2019,0.00
04/06/2019,0.00
05/06/2019,0.00
06/06/2019,0.00
07/06/2019,0.00
08/06/2019,0.00
09/06/2019,0.00
10/06/2019,0.00
11/06/2019,0.00
12/06/2019,0.00
13/06/2019,0.00
14/06/2019,0.00
15/06/2019,0.00
16/06/2019,0.00
17/06/2019,0.00
18/06/2019,0.00
19/06/2019,0.00
20/06/2019,0.00
21/06/2019,0.00
22/06/2019,0.00
23/06/2019,0.00
24/06/2019,0.00
25/06/2019,0.00
26/06/2019,0.00
27/06/2019,0.00
28/06/2019,0.00
29/06/2019,0.00
30/06/2019,0.00
01/07/2019,0.00
02/07/2019,0.00
03/07/2019,0.00
04/07/2019,0.00
05/07/2019,0.00
06/07/2019,0.00
07/07/2019,0.00
08/07/2019,0.00
09/07/2019,0.00
10/07/2019,0.00
11/07/2019,0.00
12/07/2019,0.00
13/07/2019,0.00
14/07/2019,0.00
15/07/2019,0.00
16/07/2019,0.00
17/07/2019,0.00
18/07/2019,0.00
19/07/2019,0.00
20/07/2019,0.00
21/07/2019,0.00
22/07/2019,0.00
23/07/2019,0.00
24/07/2019,0.00
25/07/2019,0.00
26/07/2019,0.00
27/07/2019,0.00
28/07/2019,0.00
29/07/2019,0.00
30/07/2019,0.00
31/07/2019,0.00
01/08/2019,0.00
02/08/2019,0.00
03/08/2019,0.00
04/08/2019,0.00
05/08/2019,0.00
06/08/2019,0.00
07/08/2019,0.00
08/08/2019,0.00
09/08/2019,0.00
10/08/2019,0.00
11/08/2019,0.00
12/08/2019,0.00
13/08/2019,0.00
14/08/2019,0.00
15/08/2019,0.00
16/08/2019,0.00
17/08/2019,0.00
18/08/2019,0.00
19/08/2019,0.00
20/08/2019,0.00
21/08/2019,0.00
22/08/2019,0.00
23/08/2019,0.00
24/08/2019,0.00
25/08/2019,0.00
26/08/2019,0.00
27/08/2019,0.00
28/08/2019,0.03
29/08/2019,0.04
30/08/2019,0.04
31/08/2019,0.05
01/09/2019,0.05
02/09/2019,0.29
03/09/2019,0.15
04/09/2019,0.16
05/09/2019,0.09
06/09/2019,0.05
07/09/2019,0.09
08/09/2019,0.09
09/09/2019,0.11
10/09/2019,0.07
11/09/2019,0.32
12/09/2019,0.24
13/09/2019,0.09
14/09/2019,0.13
15/09/2019,0.16
16/09/2019,0.13
17/09/2019,0.08
18/09/2019,0.13
19/09/2019,0.17
20/09/2019,0.12
21/09/2019,0.21
22/09/2019,0.14
23/09/2019,0.18
24/09/2019,0.10
25/09/2019,0.08
26/09/2019,0.05
27/09/2019,0.04
28/09/2019,0.06
29/09/2019,0.11
30/09/2019,0.12
01/10/2019,0.08
02/10/2019,0.07
03/10/2019,0.08
04/10/2019,0.08
05/10/2019,0.07
06/10/2019,0.07
07/10/2019,0.07
08/10/2019,0.02
09/10/2019,0.01
10/10/2019,0.02
11/10/2019,0.03
12/10/2019,0.06
13/10/2019,0.07
14/10/2019,0.07
15/10/2019,0.12
16/10/2019,0.13
17/10/2019,0.05
18/10/2019,0.03
19/10/2019,0.08
20/10/2019,0.09
21/10/2019,0.09
22/10/2019,0.08
23/10/2019,0.08
24/10/2019,0.02
25/10/2019,0.00
26/10/2019,0.03
27/10/2019,0.04
28/10/2019,0.04
29/10/2019,0.08
30/10/2019,0.09
31/10/2019,0.04
01/11/2019,0.03
02/11/2019,0.11
03/11/2019,0.13
04/11/2019,0.13
05/11/2019,0.06
06/11/2019,0.04
07/11/2019,0.02
08/11/2019,0.01
09/11/2019,0.04
10/11/2019,0.04
11/11/2019,0.04
12/11/2019,0.01
13/11/2019,0.00
14/11/2019,0.00
15/11/2019,0.00
16/11/2019,0.00
17/11/2019,0.00
18/11/2019,0.00
19/11/2019,0.00
20/11/2019,0.00
21/11/2019,0.04
22/11/2019,0.05
23/11/2019,0.06
24/11/2019,0.07
25/11/2019,0.07
26/11/2019,0.09
27/11/2019,0.09
28/11/2019,0.05
29/11/2019,0.04
30/11/2019,0.06
01/12/2019,0.07
02/12/2019,0.07
03/12/2019,0.06
04/12/2019,0.05
05/12/2019,0.06
06/12/2019,0.07
07/12/2019,0.09
08/12/2019,0.09
09/12/2019,0.09
10/12/2019,0.06
11/12/2019,0.05
12/12/2019,0.01
13/12/2019,0.00
14/12/2019,0.08
15/12/2019,0.09
16/12/2019,0.09
17/12/2019,0.07
18/12/2019,0.07
19/12/2019,0.03
20/12/2019,0.03
21/12/2019,0.08
22/12/2019,0.09
23/12/2019,0.09
24/12/2019,0.03
25/12/2019,0.01
26/12/2019,0.06
27/12/2019,0.07
28/12/2019,0.06
29/12/2019,0.05
30/12/2019,0.05
31/12/2019,0.01
01/01/2020,0.00
02/01/2020,0.15
03/01/2020,0.19
04/01/2020,0.07
05/01/2020,1.50
06/01/2020,0.27
07/01/2020,0.14
08/01/2020,0.13
09/01/2020,0.07
10/01/2020,0.05
11/01/2020,0.07
12/01/2020,0.08
13/01/2020,0.08
14/01/2020,0.03
15/01/2020,0.08
16/01/2020,0.63
17/01/2020,0.24
18/01/2020,0.16
19/01/2020,0.15
20/01/2020,0.15
21/01/2020,0.04
22/01/2020,0.01
23/01/2020,0.08
24/01/2020,0.09
25/01/2020,0.09
26/01/2020,0.09
27/01/2020,0.09
28/01/2020,0.09
29/01/2020,0.09
30/01/2020,0.09
31/01/2020,0.09
01/02/2020,0.09
02/02/2020,0.09
03/02/2020,0.09
04/02/2020,0.09
05/02/2020,0.09
06/02/2020,0.09
07/02/2020,0.09
08/02/2020,1.15
09/02/2020,3.08
10/02/2020,1.96
11/02/2020,0.16
12/02/2020,0.00
13/02/2020,0.00
14/02/2020,0.00
15/02/2020,0.39
16/02/2020,0.48
17/02/2020,0.48
18/02/2020,0.09
19/02/2020,0.00
20/02/2020,0.00
21/02/2020,0.00
22/02/2020,0.00
23/02/2020,0.00
24/02/2020,0.00
25/02/2020,0.01
26/02/2020,0.01
27/02/2020,0.01
28/02/2020,0.01
29/02/2020,0.00
01/03/2020,0.00
02/03/2020,0.00
03/03/2020,0.00
04/03/2020,0.00
05/03/2020,0.00
06/03/2020,0.00
07/03/2020,0.06
08/03/2020,0.08
09/03/2020,0.08
10/03/2020,0.01
11/03/2020,0.00
12/03/2020,0.00
13/03/2020,0.00
14/03/2020,0.00
15/03/2020,0.00
16/03/2020,0.00
17/03/2020,0.00
18/03/2020,0.00
19/03/2020,0.00
20/03/2020,0.00
21/03/2020,0.01
22/03/2020,0.01
23/03/2020,0.01
24/03/2020,0.00
25/03/2020,0.00
26/03/2020,0.00
27/03/2020,0.00
28/03/2020,0.01
29/03/2020,0.01
30/03/2020,0.01
31/03/2020,0.32
01/04/2020,0.39
02/04/2020,0.07
03/04/2020,0.00
04/04/2020,0.01
05/04/2020,0.01
06/04/2020,0.01
07/04/2020,0.00
08/04/2020,0.00
09/04/2020,0.02
10/04/2020,0.03
11/04/2020,0.05
12/04/2020,0.05
13/04/2020,0.05
14/04/2020,0.11
15/04/2020,0.12
16/04/2020,0.02
17/04/2020,0.00
18/04/2020,0.02
19/04/2020,0.03
20/04/2020,0.03
21/04/2020,0.00
22/04/2020,0.00
23/04/2020,0.00
24/04/2020,0.00
25/04/2020,0.02
26/04/2020,0.03
27/04/2020,0.03
28/04/2020,0.05
29/04/2020,0.05
30/04/2020,0.01
01/05/2020,0.00
02/05/2020,0.14
03/05/2020,0.17
04/05/2020,0.17
05/05/2020,0.03
06/05/2020,0.00
07/05/2020,0.04
08/05/2020,0.05
09/05/2020,0.01
10/05/2020,0.00
11/05/2020,0.00
12/05/2020,0.08
13/05/2020,0.09
14/05/2020,0.02
15/05/2020,0.00
16/05/2020,0.00
17/05/2020,0.00
18/05/2020,0.00
19/05/2020,0.01
20/05/2020,0.01
21/05/2020,0.00
22/05/2020,0.00
23/05/2020,0.04
24/05/2020,0.05
25/05/2020,0.05
26/05/2020,0.06
27/05/2020,0.07
28/05/2020,0.08
29/05/2020,0.08
30/05/2020,0.11
31/05/2020,0.12
01/06/2020,0.12
02/06/2020,0.15
03/06/2020,0.16
04/06/2020,0.07
05/06/2020,0.05
06/06/2020,0.13
07/06/2020,0.15
08/06/2020,0.15
09/06/2020,0.03
10/06/2020,0.00
11/06/2020,0.09
12/06/2020,0.12
13/06/2020,0.10
14/06/2020,0.09
15/06/2020,0.09
16/06/2020,0.05
17/06/2020,0.04
18/06/2020,0.15
19/06/2020,0.17
20/06/2020,0.05
21/06/2020,0.03
22/06/2020,0.03
23/06/2020,0.00
24/06/2020,0.00
25/06/2020,0.30
26/06/2020,0.37
27/06/2020,0.13
28/06/2020,0.08
29/06/2020,0.08
30/06/2020,0.06
01/07/2020,0.05
02/07/2020,0.01
03/07/2020,0.00
04/07/2020,0.03
05/07/2020,0.04
06/07/2020,0.04
07/07/2020,0.02
08/07/2020,0.01
09/07/2020,0.05
10/07/2020,0.05
11/07/2020,0.04
12/07/2020,0.04
13/07/2020,0.04
14/07/2020,0.04
15/07/2020,0.04
16/07/2020,0.04
17/07/2020,0.04
18/07/2020,0.62
19/07/2020,0.75
20/07/2020,0.75
21/07/2020,0.14
22/07/2020,0.00
23/07/2020,0.01
24/07/2020,0.01
25/07/2020,0.10
26/07/2020,0.12
27/07/2020,0.12
28/07/2020,0.04
29/07/2020,0.03
30/07/2020,0.01
31/07/2020,0.00
01/08/2020,0.11
02/08/2020,0.13
03/08/2020,0.13
04/08/2020,0.03
05/08/2020,0.00
06/08/2020,0.00
07/08/2020,0.00
08/08/2020,0.03
09/08/2020,0.04
10/08/2020,0.04
11/08/2020,0.12
12/08/2020,0.14
13/08/2020,0.03
14/08/2020,0.00
15/08/2020,0.02
16/08/2020,0.03
17/08/2020,0.03
18/08/2020,0.01
19/08/2020,0.00
20/08/2020,0.00
21/08/2020,0.00
22/08/2020,0.00
23/08/2020,0.00
24/08/2020,0.00
25/08/2020,0.01
26/08/2020,0.01
27/08/2020,0.00
28/08/2020,0.00
29/08/2020,0.00
30/08/2020,0.00
31/08/2020,0.00
01/09/2020,0.00
02/09/2020,0.00
03/09/2020,0.21
04/09/2020,0.27
05/09/2020,0.12
06/09/2020,0.09
07/09/2020,0.09
08/09/2020,0.20
09/09/2020,0.23
10/09/2020,0.04
11/09/2020,0.00
12/09/2020,0.00
13/09/2020,0.00
14/09/2020,0.00
15/09/2020,0.00
16/09/2020,0.00
17/09/2020,0.02
18/09/2020,0.03
19/09/2020,0.05
20/09/2020,0.05
21/09/2020,0.05
22/09/2020,0.01
23/09/2020,0.00
24/09/2020,0.03
25/09/2020,0.04
26/09/2020,0.01
27/09/2020,0.00
28/09/2020,0.00
29/09/2020,0.02
30/09/2020,0.03
01/10/2020,0.03
02/10/2020,0.03
03/10/2020,0.04
04/10/2020,0.04
05/10/2020,0.04
06/10/2020,0.06
07/10/2020,0.07
08/10/2020,0.05
09/10/2020,0.04
10/10/2020,0.06
11/10/2020,0.07
12/10/2020,0.07
13/10/2020,0.02
14/10/2020,0.01
15/10/2020,0.01
16/10/2020,0.01
17/10/2020,0.10
18/10/2020,0.12
19/10/2020,0.12
20/10/2020,0.02
21/10/2020,0.00
22/10/2020,0.02
23/10/2020,0.03
24/10/2020,0.04
25/10/2020,0.04
26/10/2020,0.04
27/10/2020,0.02
28/10/2020,0.01
29/10/2020,0.22
30/10/2020,0.27
31/10/2020,0.05
01/11/2020,0.00
02/11/2020,0.00
03/11/2020,0.00
04/11/2020,0.00
05/11/2020,0.00
06/11/2020,0.00
07/11/2020,0.04
08/11/2020,0.05
09/11/2020,0.05
10/11/2020,0.04
11/11/2020,0.04
12/11/2020,0.05
13/11/2020,0.05
14/11/2020,0.08
15/11/2020,0.09
16/11/2020,0.09
17/11/2020,0.03
18/11/2020,0.01
19/11/2020,0.00
20/11/2020,0.00
21/11/2020,0.03
22/11/2020,0.04
23/11/2020,0.04
24/11/2020,0.05
25/11/2020,0.05
26/11/2020,0.02
27/11/2020,0.01
28/11/2020,0.06
29/11/2020,0.07
30/11/2020,0.04
01/12/2020,0.00
02/12/2020,0.04
03/12/2020,0.11
04/12/2020,0.09
05/12/2020,0.07
06/12/2020,0.07
07/12/2020,0.06
08/12/2020,0.04
09/12/2020,0.04
10/12/2020,0.05
11/12/2020,0.06
12/12/2020,0.07
13/12/2020,0.07
14/12/2020,0.06
15/12/2020,0.04
16/12/2020,0.04
17/12/2020,0.03
18/12/2020,0.07
19/12/2020,0.15
20/12/2020,0.15
21/12/2020,0.11
22/12/2020,0.05
23/12/2020,0.07
24/12/2020,0.11
25/12/2020,0.10
26/12/2020,0.09
27/12/2020,0.09
28/12/2020,0.06
29/12/2020,0.01
30/12/2020,0.02
31/12/2020,0.03
01/01/2021,0.04
02/01/2021,0.05
03/01/2021,0.05
04/01/2021,0.09
05/01/2021,0.15
06/01/2021,0.13
07/01/2021,0.11
08/01/2021,0.11
09/01/2021,0.11
10/01/2021,0.11
11/01/2021,0.08
12/01/2021,0.04
13/01/2021,0.05
14/01/2021,0.05
15/01/2021,0.06
16/01/2021,0.08
17/01/2021,0.08
18/01/2021,0.08
19/01/2021,0.07
20/01/2021,0.06
21/01/2021,0.04
22/01/2021,0.05
23/01/2021,0.08
24/01/2021,0.08
25/01/2021,0.07
26/01/2021,0.04
27/01/2021,0.04
28/01/2021,0.04
29/01/2021,0.03
30/01/2021,0.03
31/01/2021,0.03
01/02/2021,0.03
02/02/2021,0.03
03/02/2021,0.03
04/02/2021,0.03
05/02/2021,0.03
06/02/2021,0.03
07/02/2021,0.03
08/02/2021,0.04
09/02/2021,0.05
10/02/2021,0.12
11/02/2021,0.24
12/02/2021,0.16
13/02/2021,0.01
14/02/2021,0.01
15/02/2021,0.05
16/02/2021,0.11
17/02/2021,0.10
18/02/2021,0.09
19/02/2021,0.06
20/02/2021,0.01
21/02/2021,0.01
22/02/2021,0.02
23/02/2021,0.03
24/02/2021,0.03
25/02/2021,0.03
26/02/2021,0.02
27/02/2021,0.00
28/02/2021,0.00
01/03/2021,0.01
02/03/2021,0.04
03/03/2021,0.05
04/03/2021,0.05
05/03/2021,0.05
06/03/2021,0.04
07/03/2021,0.04
08/03/2021,0.04
09/03/2021,0.03
10/03/2021,0.02
11/03/2021,0.01
12/03/2021,0.01
13/03/2021,0.01
14/03/2021,0.01
15/03/2021,0.02
16/03/2021,0.03
17/03/2021,0.10
18/03/2021,0.24
19/03/2021,0.18
20/03/2021,0.08
21/03/2021,0.08
22/03/2021,0.06
23/03/2021,0.01
24/03/2021,0.01
25/03/2021,0.01
26/03/2021,0.03
27/03/2021,0.05
28/03/2021,0.05
29/03/2021,0.03
30/03/2021,0.00
31/03/2021,0.01
01/04/2021,0.03
02/04/2021,0.04
03/04/2021,0.08
04/04/2021,0.08
05/04/2021,0.06
06/04/2021,0.03
07/04/2021,0.02
08/04/2021,0.00
09/04/2021,0.02
10/04/2021,0.06
11/04/2021,0.06
12/04/2021,0.05
13/04/2021,0.03
14/04/2021,0.02
15/04/2021,0.00
16/04/2021,0.02
17/04/2021,0.05
18/04/2021,0.05
19/04/2021,0.04
20/04/2021,0.03
21/04/2021,0.02
22/04/2021,0.01
23/04/2021,0.03
24/04/2021,0.05
25/04/2021,0.05
26/04/2021,0.04
27/04/2021,0.03
28/04/2021,0.02
29/04/2021,0.00
30/04/2021,0.04
01/05/2021,0.11
02/05/2021,0.11
03/05/2021,0.08
04/05/2021,0.04
05/05/2021,0.04
06/05/2021,0.04
07/05/2021,0.03
08/05/2021,0.00
09/05/2021,0.00
10/05/2021,0.02
11/05/2021,0.05
12/05/2021,0.04
13/05/2021,0.03
14/05/2021,0.04
15/05/2021,0.05
16/05/2021,0.05
17/05/2021,0.06
18/05/2021,0.08
19/05/2021,0.06
20/05/2021,0.03
21/05/2021,0.05
22/05/2021,0.08
23/05/2021,0.08
24/05/2021,0.06
25/05/2021,0.01
26/05/2021,0.01
27/05/2021,0.00
28/05/2021,0.01
29/05/2021,0.03
30/05/2021,0.03
31/05/2021,0.06
01/06/2021,0.11
02/06/2021,0.08
03/06/2021,0.04
04/06/2021,0.05
05/06/2021,0.08
06/06/2021,0.08
07/06/2021,0.06
08/06/2021,0.01
09/06/2021,0.02
10/06/2021,0.04
11/06/2021,0.04
12/06/2021,0.05
13/06/2021,0.05
14/06/2021,0.04
15/06/2021,0.01
16/06/2021,0.05
17/06/2021,0.11
18/06/2021,0.12
19/06/2021,0.13
20/06/2021,0.13
21/06/2021,0.10
22/06/2021,0.05
23/06/2021,0.04
24/06/2021,0.03
25/06/2021,0.04
26/06/2021,0.07
27/06/2021,0.07
28/06/2021,0.05
29/06/2021,0.03
30/06/2021,0.03
01/07/2021,0.04
02/07/2021,0.04
03/07/2021,0.03
04/07/2021,0.03
05/07/2021,0.05
06/07/2021,0.08
07/07/2021,0.07
08/07/2021,0.04
09/07/2021,0.03
10/07/2021,0.03
11/07/2021,0.03
12/07/2021,0.03
13/07/2021,0.03
14/07/2021,0.04
15/07/2021,0.03
16/07/2021,0.00
17/07/2021,0.01
18/07/2021,0.01
19/07/2021,0.01
20/07/2021,0.00
21/07/2021,0.00
22/07/2021,0.00
23/07/2021,0.00
24/07/2021,0.00
25/07/2021,0.00
26/07/2021,0.00
27/07/2021,0.00
28/07/2021,0.00
29/07/2021,0.00
30/07/2021,0.01
31/07/2021,0.03
01/08/2021,0.03
02/08/2021,0.02
03/08/2021,0.00
04/08/2021,0.00
05/08/2021,0.00
06/08/2021,0.03
07/08/2021,0.08
08/08/2021,0.08
09/08/2021,0.05
10/08/2021,0.00
11/08/2021,0.00
12/08/2021,0.00
13/08/2021,0.00
14/08/2021,0.00
15/08/2021,0.00
16/08/2021,0.00
17/08/2021,0.00
18/08/2021,0.00
19/08/2021,0.00
20/08/2021,0.00
21/08/2021,0.00
22/08/2021,0.00
23/08/2021,0.00
24/08/2021,0.00
25/08/2021,0.03
26/08/2021,0.08
27/08/2021,0.05
28/08/2021,0.00
29/08/2021,0.00
30/08/2021,0.00
31/08/2021,0.00
01/09/2021,0.00
02/09/2021,0.00
03/09/2021,0.04
04/09/2021,0.11
05/09/2021,0.11
06/09/2021,0.09
07/09/2021,0.05
08/09/2021,0.05
09/09/2021,0.05
10/09/2021,0.05
11/09/2021,0.05
12/09/2021,0.05
13/09/2021,0.10
14/09/2021,0.17
15/09/2021,0.11
16/09/2021,0.00
17/09/2021,0.03
18/09/2021,0.09
19/09/2021,0.09
20/09/2021,0.09
21/09/2021,0.09
